Transaction_ID,Date,Department,Category,Type,Description,Amount
1,2024-01-01,Sales,Other Income,Income,Other Income - Sales - Jan 2024,533.88
2,2024-01-01,Sales,Other Income,Income,Other Income - Sales - Jan 2024,315.94
3,2024-01-01,Sales,Other Income,Income,Other Income - Sales - Jan 2024,1461.95
4,2024-01-01,IT,Software Subscriptions  ,Expense,Software Subscriptions - IT - Jan 2024,558.56
5,2024-01-01,Sales,Service Revenue,Income,Service Revenue - Sales - Jan 2024,759.06
6,2024-01-02,Sales,Office Supplies,Expense,Office Supplies - Sales - Jan 2024,357.14
7,2024-01-02,Operations,Consulting Fees,Income,Consulting Fees - Operations - Jan 2024,1833.98
8,2024-01-02,Marketing,Professional Services,Expense,Professional Services - Marketing - Jan 2024,1982.9
9,2024-01-02,Operations,Product Sales,Income,Product Sales - Operations - Jan 2024,7708.79
10,2024-01-02,Marketing,Taxes,Expense,Taxes - Marketing - Jan 2024,2523.89
11,2024-01-02,IT,Professional Services,Expense,Professional Services - IT - Jan 2024,1099.94
12,2024-01-03,IT,Taxes,Expense,Taxes - IT - Jan 2024,614.39
13,2024-01-03,IT,Software Subscriptions,Expense,Software Subscriptions - IT - Jan 2024,246.88
14,2024-01-04,Sales,Office Supplies,Expense,Office Supplies - Sales - Jan 2024,32.56
15,2024-01-04,Sales,Other Income,Income,Other Income - Sales - Jan 2024,1344.21
16,2024-01-04,Sales,Service Revenue,Income,Service Revenue - Sales - Jan 2024,302.45
17,2024-01-04,Operations,Taxes,Expense,Taxes - Operations - Jan 2024,2019.27
18,2024-01-04,Marketing,Marketing Campaigns,Expense,Marketing Campaigns - Marketing - Jan 2024,1138.13
19,2024-01-05,Sales,Consulting Fees,Income,Consulting Fees - Sales - Jan 2024,1706.71
20,2024-01-05,Sales,Service Revenue,Income,Service Revenue - Sales - Jan 2024,2028.58
21,2024-01-05,Operations,Service Revenue,Income,Service Revenue - Operations - Jan 2024,3570.32
22,2024-01-07,HR,Taxes,Expense,Taxes - HR - Jan 2024,4919.76
23,2024-01-07,Operations,Travel,Expense,Travel - Operations - Jan 2024,913.67
24,2024-01-08,HR,Utilities,Expense,Utilities - HR - Jan 2024,591.15
25,2024-01-08,Sales,Utilities  ,Expense,Utilities - Sales - Jan 2024,443.38
26,2024-01-08,Sales,Other Income,Income,Other Income - Sales - Jan 2024,1281.37
27,2024-01-08,Sales,Service Revenue,Income,Service Revenue - Sales - Jan 2024,4900.8
28,2024-01-08,IT,Salaries,Expense,Salaries - IT - Jan 2024,3366.7
29,2024-01-08,HR,software subscriptions,Expense,Software Subscriptions - HR - Jan 2024,798.64
30,2024-01-08,Operations,Product Sales,Income,Product Sales - Operations - Jan 2024,3460.19
31,2024-01-08,Operations,Consulting Fees,Income,Consulting Fees - Operations - Jan 2024,3495.31
32,2024-01-08,SALES,Consulting Fees,Income,Consulting Fees - Sales - Jan 2024,2982.86
33,2024-01-08,Operations,Other Income,Income,Other Income - Operations - Jan 2024,1067.85
34,2024-01-09,Admin,Office Supplies  ,Expense,Office Supplies - Admin - Jan 2024,244.52
35,2024-01-09,Sales,Other Income,Income,Other Income - Sales - Jan 2024,1166.49
36,2024-01-10,Sales,Service Revenue,Income,Service Revenue - Sales - Jan 2024,3241.54
37,2024-01-10,Operations,Salaries,Expense,Salaries - Operations - Jan 2024,8070.39
38,2024-01-10,Admin,Marketing Campaigns  ,Expense,Marketing Campaigns - Admin - Jan 2024,858.17
39,2024-01-10,SALES,Product Sales,Income,Product Sales - Sales - Jan 2024,1206.18
40,2024-01-10,Operations,Software Subscriptions,Expense,,562.2
41,2024-01-10,Sales,Product Sales,Income,Product Sales - Sales - Jan 2024,3817.64
42,2024-01-10,Marketing,Travel,Expense,Travel - Marketing - Jan 2024,702.07
43,2024-01-11,Sales,Product Sales,Income,Product Sales - Sales - Jan 2024,6853.57
44,2024-01-11,Sales,Service Revenue,Income,Service Revenue - Sales - Jan 2024,4542.0
45,2024-01-11,Operations,Consulting Fees,Income,Consulting Fees - Operations - Jan 2024,3818.83
46,2024-01-11,Sales,Product Sales,Income,Product Sales - Sales - Jan 2024,2699.08
47,2024-01-11,Marketing,Professional Services,Expense,Professional Services - Marketing - Jan 2024,1639.3
48,2024-01-11,Sales,Product Sales,Income,Product Sales - Sales - Jan 2024,1208.32
49,2024-01-11,IT,Professional Services,Expense,Professional Services - IT - Jan 2024,1779.52
50,2024-01-12,IT,Software Subscriptions,Expense,Software Subscriptions - IT - Jan 2024,671.22
51,2024-01-12,IT,Office Supplies,Expense,Office Supplies - IT - Jan 2024,51.96
52,2024-01-13,Sales,Salaries,Expense,Salaries - Sales - Jan 2024,8162.52
53,2024-01-15,Sales,Other Income,Income,Other Income - Sales - Jan 2024,133.9
54,2024-01-15,Operations,Other Income,Income,Other Income - Operations - Jan 2024,878.64
55,2024-01-15,Sales,Product Sales,Income,,3311.53
56,2024-01-15,IT,Software Subscriptions,Expense,Software Subscriptions - IT - Jan 2024,67.76
57,2024-01-15,Sales,Professional Services,Expense,Professional Services - Sales - Jan 2024,885.38
58,2024-01-16,Operations,Consulting Fees,Income,Consulting Fees - Operations - Jan 2024,2938.53
59,2024-01-16,Sales,Consulting Fees,Income,Consulting Fees - Sales - Jan 2024,4430.44
60,2024-01-16,IT,Office Supplies,Expense,Office Supplies - IT - Jan 2024,380.92
61,2024-01-17,Operations,Product Sales,Income,Product Sales - Operations - Jan 2024,922.82
62,2024-01-17,Operations,Software Subscriptions,Expense,Software Subscriptions - Operations - Jan 2024,688.66
63,2024-01-17,Marketing,Salaries,Expense,Salaries - Marketing - Jan 2024,6701.9
64,2024-01-17,Admin,Rent,Expense,Rent - Admin - Jan 2024,1200.0
65,2024-01-18,Marketing,Utilities,Expense,Utilities - Marketing - Jan 2024,381.86
66,2024-01-18,Sales,Service Revenue,Income,Service Revenue - Sales - Jan 2024,1936.8
67,2024-01-18,Sales,Marketing Campaigns,Expense,Marketing Campaigns - Sales - Jan 2024,1945.52
68,2024-01-18,Operations,Utilities,Expense,Utilities - Operations - Jan 2024,391.77
69,2024-01-18,Sales,Service Revenue,Income,Service Revenue - Sales - Jan 2024,716.9
70,2024-01-18,Sales,Professional Services,Expense,Professional Services - Sales - Jan 2024,549.18
71,2024-01-18,Operations,Other Income,Income,Other Income - Operations - Jan 2024,1218.99
72,2024-01-18,Marketing,Travel  ,Expense,Travel - Marketing - Jan 2024,1375.04
73,2024-01-18,Operations,Rent,Expense,Rent - Operations - Jan 2024,1200.0
74,2024-01-18,Marketing,Salaries,Expense,Salaries - Marketing - Jan 2024,3480.14
75,2024-01-19,Sales,Salaries,Expense,Salaries - Sales - Jan 2024,5708.88
76,2024-01-19,Marketing,Utilities,Expense,Utilities - Marketing - Jan 2024,173.32
77,2024-01-19,IT,Maintenance,Expense,Maintenance - IT - Jan 2024,598.11
78,2024-01-19,Sales,Product Sales,Income,Product Sales - Sales - Jan 2024,1101.75
79,2024-01-19,Admin,Marketing Campaigns,Expense,Marketing Campaigns - Admin - Jan 2024,220.14
80,2024-01-19,Sales,Service Revenue,Income,Service Revenue - Sales - Jan 2024,1359.06
81,2024-01-19,Sales,Product Sales,Income,Product Sales - Sales - Jan 2024,3223.12
82,2024-01-20,Sales,Product Sales,Income,Product Sales - Sales - Jan 2024,6201.71
